نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا, الرياض , حي الملقا ,شرقية,5,4,5+,,500,1,1,1,1,1,1,1,0,1,1,7500000
فيلا, الرياض , حي العارض ,شمالية,4,3,5+,,300,1,1,1,1,0,0,0,0,1,1,2300000
فيلا, الرياض , حي الربيع ,شرقية,7+,4,5+,,625,0,0,0,0,0,0,0,0,0,0,4375000
فيلا, الرياض , حي الملقا ,شمالية غربية,5,4,5+,,620,1,1,1,1,1,1,1,0,1,1,10000000
فيلا, الرياض , حي الملقا ,غربية,7+,3,5+,,800,1,1,1,1,1,1,1,0,1,0,10000000
فيلا, الرياض , حي الملقا ,شرقية,4,3,5+,,500,1,1,1,1,1,1,0,0,1,1,6800000
فيلا, الرياض , حي العارض ,غربية,6,2,5+,,900,1,0,1,1,0,1,0,0,1,0,8000000
فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,,312,1,0,1,1,0,1,0,0,1,1,2750000
فيلا, الدرعية, العيينة ,غربية,5,1,4,,250,1,1,1,0,0,1,0,0,1,0,1280000
فيلا, الرياض , حي العقيق ,شمالية,5,2,5+,,375,1,1,1,1,1,1,1,0,1,1,4500000
فيلا, الدرعية, العيينة ,جنوبية,4,1,5+,,280,0,1,0,0,1,0,0,0,0,0,1270000
فيلا, الرياض , حي الملقا ,شرقية,5,5,5+,,430,1,1,1,1,0,1,0,0,0,1,6000000
فيلا, الرياض , حي الملقا ,شمالية,5,2,5+,,287,1,1,1,1,0,1,0,0,1,1,3600000
فيلا, الرياض , حي الملقا ,جنوبية,5,2,5+,,253,1,1,1,1,0,1,0,0,1,1,3400000
فيلا, الرياض , حي الملقا ,شرقية,7+,4,5+,,1750,1,0,1,1,1,1,0,0,1,1,22500000
فيلا, الرياض , حي الياسمين ,شمالية,4,2,5+,,420,1,0,1,1,0,1,0,0,1,0,3100000
فيلا, الرياض , حي النرجس ,شمالية,4,2,5+,,240,1,1,1,1,0,0,0,0,1,1,2750000
فيلا, الرياض , حي النخيل ,شرقية,4,3,5+,,260,1,0,1,1,1,1,1,0,1,1,3500000
فيلا, الرياض , حي العارض ,شمالية شرقية,4,3,5+,,221,1,1,1,0,1,0,0,0,1,1,2200000
فيلا, الرياض , حي العارض ,شمالية,4,3,5+,,204,1,1,1,0,1,0,0,0,1,1,2000000
فيلا, الرياض , حي الوادي ,غربية,5,4,5+,,375,1,1,1,1,1,1,0,0,1,0,2200000
فيلا, الرياض , حي العارض ,شمالية,6,2,4,,400,1,1,1,0,0,1,0,0,1,0,3800000
فيلا, الرياض , حي النرجس ,جنوبية شرقية,4,2,5+,,315,1,1,0,0,0,0,0,0,0,0,2900000
فيلا, الرياض , حي الياسمين ,شمالية,5,4,5+,,660,1,1,1,1,1,1,0,0,1,0,8000000
فيلا, الرياض , حي الملقا ,شرقية,5,3,5+,,525,1,1,1,1,0,1,1,1,1,1,9000000
فيلا, الرياض , حي النرجس ,جنوبية,5,3,5+,,300,1,1,1,1,0,0,1,0,0,1,2950000
فيلا, الرياض , حي العليا ,شرقية,5,3,5+,,260,1,0,1,0,1,1,0,0,1,1,2800000
فيلا, الرياض , حي النزهة ,شمالية شرقية,7+,2,5+,,1050,1,1,1,1,1,1,0,1,1,1,7800000
فيلا, الرياض , حي الملقا ,شرقية,6,2,5+,,480,1,1,1,1,1,1,0,0,1,1,5500000
فيلا, الرياض , حي العارض ,جنوبية,5,2,5+,,360,1,1,1,1,1,1,0,0,1,1,2850000
فيلا, الرياض , حي العارض ,شمالية,7+,5,5+,,630,0,1,1,0,1,1,0,0,1,0,6050000
فيلا, الرياض , حي التعاون ,غربية,4,7+,5+,20,420,1,1,1,1,0,1,0,0,1,1,5000000
فيلا, الرياض , حي التعاون ,شمالية,7+,2,5+,18,300,1,1,1,1,0,0,0,0,1,1,2850000
فيلا, الرياض , حي العارض ,شمالية شرقية,7+,3,5+,,221,1,0,1,1,0,1,0,0,1,1,2200000
فيلا, الرياض , حي العارض ,شمالية,7+,3,5+,,300,1,0,1,1,0,1,0,0,1,1,2300000
فيلا, الرياض , حي العارض ,شمالية,6,3,5+,,204,1,0,1,0,0,1,0,0,1,1,2000000
فيلا, الرياض , حي النزهة ,ثلاث شوارع,7+,4,5+,,2450,1,1,1,1,1,1,1,1,1,0,18000000
فيلا, الدرعية, العيينة ,غربية,7+,2,5+,,480,0,1,0,0,0,1,0,0,0,0,2300000
فيلا, الرياض , حي العارض ,شرقية,5,2,5+,,510,1,1,1,1,1,1,1,0,1,1,4000000
فيلا, امارة منطقة الرياض, الرياض ,شمالية,5,3,5+,,280,1,1,1,1,0,1,0,0,1,0,2600000
فيلا, الرياض , حي العارض ,غربية,4,2,5+,,200,1,0,1,0,0,1,0,0,1,1,2100000
فيلا, الرياض , حي العارض ,شمالية,7+,3,5+,,399,0,1,1,1,1,1,0,0,1,0,3500000
فيلا, الرياض , حي الياسمين ,جنوبية,5,,2,,375,1,0,1,1,0,0,0,0,0,0,4600000
فيلا, الرياض , حي النرجس ,شرقية,6,2,5+,,450,1,1,1,0,1,1,1,0,1,1,2870000
فيلا, الرياض , حي القيروان ,شرقية,4,4,5+,,300,1,1,1,1,0,1,0,0,1,1,3600000
فيلا, الرياض , حي القيروان ,جنوبية,5,3,5+,5,275,1,1,1,1,1,1,0,0,1,1,3600000
فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,15,330,0,1,1,1,0,0,0,0,1,0,3300000
فيلا, الرياض , حي النفل ,شرقية,7+,4,5+,,750,0,0,0,0,0,0,0,0,0,1,9500000
فيلا, الرياض , حي النفل ,جنوبية,7+,2,5+,,360,1,0,0,0,1,1,0,0,1,1,2850000
فيلا, الرياض , حي النرجس ,غربية,5,3,5+,,225,1,1,1,1,0,0,0,0,1,1,2650000
فيلا, الرياض , حي الربيع ,شرقية,5,2,5+,,510,1,1,1,0,0,1,0,0,1,0,4000000
فيلا, امارة منطقة الرياض, الرياض ,شمالية,4,3,5+,,270,1,1,1,0,1,1,0,0,1,0,2450000
فيلا, الرياض , حي النرجس ,جنوبية,7+,2,5+,,425,0,0,1,0,0,1,0,0,1,0,3000000
فيلا, الرياض , حي العارض ,غربية,4,2,5+,,200,1,0,0,1,0,0,0,0,1,0,2000000
فيلا, الرياض , حي الوادي ,شرقية,7+,2,5+,,750,0,1,1,1,1,1,0,0,1,0,5500000
فيلا, امارة منطقة الرياض, الرياض ,شرقية,4,3,5+,,460,1,1,1,1,0,1,0,1,1,1,4394000
فيلا, الرياض , حي النرجس ,غربية,5,3,5+,,390,1,1,1,1,0,1,1,1,1,0,3800000
فيلا, الدرعية, العيينة ,غربية,7+,2,5+,,256,1,1,1,0,0,1,0,0,1,1,1500000
فيلا, الرياض , حي الربيع ,شرقية,7+,3,5+,,325,1,1,1,1,0,1,0,0,1,0,3200000
فيلا, الرياض , حي العليا ,جنوبية,6,5,5+,,1344,1,1,1,1,1,1,0,1,1,0,7500000
فيلا, الرياض , حي العليا ,شمالية غربية,7+,3,5+,,900,1,1,1,1,1,1,0,0,1,0,6000000
فيلا, الرياض , حي الياسمين ,جنوبية,5,2,5+,,600,1,1,1,1,1,0,0,0,1,1,6500000
فيلا, الرياض , حي النزهة ,شمالية,5,2,5+,,313,1,1,1,1,0,1,0,0,0,0,2700000
فيلا, الرياض , حي النزهة ,شمالية,5,4,5+,,336,1,1,1,1,0,1,0,0,1,0,3500000
فيلا, الرياض , حي العقيق ,شرقية,4,2,4,,400,1,1,1,1,1,1,0,1,1,0,3800000
فيلا, الرياض , حي الفلاح ,جنوبية,5,4,5+,15,400,1,1,1,1,1,0,0,0,1,0,4000000
فيلا, حريملاء, القرينه ,شمالية شرقية,7+,1,4,,690,0,1,1,1,1,1,0,0,1,0,1600000
فيلا, الرياض , حي الياسمين ,جنوبية غربية,5,3,5+,,435,1,1,1,1,1,1,0,0,1,0,4000000
فيلا, الرياض , حي العارض ,جنوبية,7+,7+,5+,,405,1,1,1,1,1,1,0,0,1,1,3100000
فيلا, الرياض , حي الياسمين ,غربية,5,2,5+,,600,1,1,1,1,1,1,0,0,1,0,4500000
فيلا, الرياض , حي العليا ,جنوبية غربية,5,3,5+,,200,0,1,0,1,0,0,0,0,0,0,2900000
فيلا, الرياض , حي الياسمين ,جنوبية,7+,2,5+,,260,1,1,1,1,0,1,0,0,1,0,2350000
فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,2,5+,,258,1,1,1,0,0,1,0,0,1,0,2500000
فيلا, الرياض , حي الرحمانية ,غربية,7+,3,5+,8,384,1,1,1,1,0,1,1,1,1,0,3500000
فيلا, الرياض , حي النزهة ,غربية,3,2,5+,,256,1,1,1,1,0,0,0,0,1,0,1650000
فيلا, الرياض , حي النرجس ,غربية,5,3,5+,,300,1,0,1,1,0,0,0,0,0,0,2800000
فيلا, الرياض , حي النرجس ,جنوبية غربية,4,2,5+,,234,1,0,1,1,0,0,0,0,0,0,2300000
فيلا, الرياض , حي النرجس ,جنوبية,3,2,5+,,273,1,0,1,0,0,0,0,0,0,0,2700000
فيلا, الرياض , حي العارض ,شمالية,6,1,4,,600,0,1,1,1,0,0,0,0,1,0,3000000
فيلا, الرياض , حي الوادي ,جنوبية,4,2,5+,,250,1,0,1,1,0,0,0,0,1,0,3000000
فيلا, الرياض , حي المصيف ,جنوبية,6,2,5+,,299,1,0,1,1,0,0,0,0,1,0,3400000
فيلا, الرياض , حي العليا ,شمالية,7+,2,5+,,442,1,1,1,1,1,0,0,1,1,0,2500000
فيلا, الرياض , حي العارض ,غربية,4,3,5+,,300,1,0,1,0,1,0,0,0,0,0,2800000
فيلا, الرياض , حي الملقا ,شرقية,4,2,5+,,375,1,1,1,1,1,1,0,0,1,1,4300000
فيلا, الرياض , حي العليا ,شمالية,7+,2,5+,,442,1,1,1,1,1,1,0,0,1,0,2600000
فيلا, الرياض , حي النرجس ,غربية,5,3,5+,,375,1,0,1,1,0,0,0,0,0,0,4400000
فيلا, امارة منطقة الرياض, الرياض ,جنوبية,6,3,5+,,270,1,0,1,0,0,0,0,0,0,0,2500000
فيلا, الرياض , حي العارض ,شمالية,5,3,5+,,300,1,0,1,1,0,0,0,0,1,0,2500000
فيلا, الدرعية, العيينة ,جنوبية,7+,5,5+,,406,0,1,0,0,0,1,0,0,0,0,1350000
فيلا, الرياض , حي الفلاح ,جنوبية,5,2,5+,,392,1,1,1,1,1,1,0,0,1,0,4500000
فيلا, الرياض , حي النرجس ,غربية,6,2,5+,,477,1,1,1,1,1,1,1,0,1,0,4000000
فيلا, الرياض , حي الياسمين ,جنوبية,5,3,5+,,375,1,1,1,1,0,1,1,0,1,1,4200000
فيلا, الرياض , حي العارض ,شمالية,5,2,5+,,360,1,1,1,1,1,0,0,0,1,1,2900000
فيلا, امارة منطقة الرياض, الرياض ,شمالية,4,3,5+,,390,0,1,1,1,0,1,0,0,1,0,3200000
فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,,324,1,1,1,1,0,1,0,0,1,0,2350000
فيلا, الرياض , حي الندى ,غربية,7+,4,5+,,2500,0,1,0,0,0,0,0,0,1,0,16700000
فيلا, الرياض , حي النزهة ,شرقية,4,2,4,,607,1,1,1,1,1,1,0,0,1,0,3300000
فيلا, الرياض , حي التعاون ,شرقية,5,2,5+,,375,0,1,1,1,1,1,0,0,1,1,4350000
فيلا, الرياض , حي الملقا ,شمالية,7+,3,5+,,200,0,0,0,0,0,0,0,0,0,0,2600000
فيلا, الرياض , حي العارض ,شرقية,7+,5,5+,,690,1,1,1,0,1,1,0,0,1,0,4600000
فيلا, الرياض , حي المصيف ,شمالية,7+,2,5+,,570,0,1,1,1,1,1,0,0,1,0,3000000
فيلا, الرياض , حي العارض ,غربية,3,2,5+,,11811,0,1,1,0,0,0,0,0,0,0,1350000
فيلا, الرياض , حي الصحافة ,جنوبية,5,2,5+,,375,1,1,1,1,1,1,1,0,1,0,2750000
فيلا, الرياض , حي الملقا ,شمالية غربية,5,3,5+,,687,1,1,1,1,1,1,0,1,1,1,9000000
فيلا, الرياض , حي العارض ,شرقية,5,5,5+,,335,1,1,1,0,1,1,0,0,1,0,3150000
فيلا, الرياض , حي المحمدية ,شمالية,5,2,5+,,360,1,1,1,1,0,0,0,0,1,0,2700000
فيلا, الرياض , حي العارض ,شرقية,4,3,5+,,300,1,1,1,1,0,1,0,0,1,1,3300000
فيلا, الرياض , حي القيروان ,جنوبية,7+,3,5+,,420,1,1,1,1,1,1,0,0,1,1,4500000
فيلا, الرياض , حي الندى ,جنوبية غربية,4,3,5+,,420,1,1,1,1,0,0,1,0,1,1,3500000
فيلا, الرياض , حي الوادي ,شمالية,4,1,3,,209,1,0,1,0,0,1,0,0,1,0,2600000
فيلا, الرياض , حي العارض ,غربية,5,2,5+,,200,1,0,1,0,0,0,0,0,0,0,2100000
فيلا, الدرعية, العيينة ,شرقية,4,1,5+,,535,1,1,1,0,1,1,0,0,1,0,1900000
فيلا, الرياض , حي العقيق ,جنوبية,7+,2,5+,,425,1,0,1,1,0,1,0,0,1,0,3200000
فيلا, الدرعية, العيينة ,جنوبية,7+,2,5+,,405,1,1,1,0,1,1,0,0,1,0,2030000
فيلا, الرياض , حي العارض ,شمالية,5,2,5+,,375,1,1,1,0,1,1,0,0,1,0,3000000
فيلا, الرياض , حي النفل ,غربية,5,2,4,,324,1,1,1,0,1,1,0,0,1,0,2500000
فيلا, الرياض , حي النفل ,غربية,6,2,5+,,360,1,1,1,1,1,1,1,0,1,1,4390000
فيلا, الرياض , حي الياسمين ,غربية,5,4,5+,,350,1,1,1,1,0,1,1,1,1,1,4700000
فيلا, الرياض , حي العارض ,جنوبية,5,3,5+,,308,1,1,0,0,0,0,0,0,0,0,2600000
فيلا, امارة منطقة الرياض, الرياض ,شرقية,2,3,5+,,375,0,1,1,1,0,1,0,0,1,0,3100000
فيلا, الرياض , حي التعاون ,شرقية,4,1,5+,,220,1,1,1,1,0,1,0,0,1,0,2712320
فيلا, الرياض , حي النخيل ,شمالية,4,2,5+,15,630,1,1,1,1,0,1,1,1,1,0,7300000
فيلا, الرياض , حي النرجس ,شرقية,6,3,5+,20,625,1,1,1,1,0,1,0,0,1,1,6500000
فيلا, الرياض , حي النرجس ,جنوبية,7+,3,5+,20,406,1,1,1,1,1,1,0,0,1,0,4200000
فيلا, الرياض , حي النرجس ,غربية,4,2,5+,15,202,1,1,1,0,1,1,0,0,1,1,2100000
فيلا, الرياض, الرياض ,شمالية,6,2,5+,20,395,1,1,1,1,1,1,0,0,1,0,3500000
فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,20,312,0,1,0,0,0,0,0,0,0,0,3500000
فيلا, الرياض , حي العليا ,شمالية,5,2,5+,10,540,1,1,1,1,1,1,1,0,1,0,3000000
فيلا, الرياض , حي الصحافة ,شمالية,6,2,5+,15,375,1,1,1,1,1,1,0,0,1,1,4880000
فيلا, الرياض , حي العارض ,شمالية,5,2,5+,30,483,1,1,1,1,1,1,1,0,1,0,3900000
فيلا, الرياض , حي المروج ,جنوبية,5,3,5+,20,350,1,1,1,1,1,1,0,0,1,1,4000000
فيلا, الدرعية, العيينة ,شرقية,7+,3,5+,20,500,1,1,1,1,1,1,1,0,1,1,5300000
فيلا, الرياض , حي العقيق ,شمالية,5,2,5+,15,312,1,1,1,1,1,1,0,0,1,1,3600000
فيلا, الدرعية, العيينة ,شرقية,4,2,5+,15,500,1,1,1,0,0,1,0,0,1,1,1400000
فيلا, الرياض , حي الملقا ,شمالية,5,3,5+,15,540,1,1,1,1,1,1,0,0,1,0,5500000
فيلا, الرياض , حي المروج ,شمالية,4,1,4,15,312,0,1,1,1,0,1,0,0,1,0,2000000
فيلا, الرياض , حي الياسمين ,جنوبية غربية,3,3,3,20,370,1,1,0,1,0,1,0,0,1,0,3250000
فيلا, الرياض , حي النرجس ,جنوبية,7+,2,5+,15,250,1,1,1,0,0,1,0,0,1,1,2500000
فيلا, الرياض , حي النرجس ,شمالية,6,2,5+,15,254,1,1,0,0,1,1,0,0,1,0,2450000
فيلا, امارة منطقة الرياض, حي الفلاح ,غربية,5,3,5+,20,520,1,1,1,1,0,1,1,0,1,1,6500000
فيلا, الرياض , حي الرحمانية ,شمالية,4,2,5+,20,300,1,1,1,1,0,1,0,0,1,1,4500000
فيلا, الرياض , حي الملقا ,شمالية شرقية,5,2,5+,25,600,1,1,1,1,1,1,1,0,1,1,6500000
فيلا, الرياض , حي القيروان ,جنوبية,5,2,5+,20,457,1,1,1,1,0,1,0,0,1,1,5200000
فيلا, الرياض , حي الملقا ,جنوبية,5,2,5+,15,343,1,1,1,1,0,1,0,0,1,1,4600000
فيلا, الرياض , حي النرجس ,شمالية,5,3,5+,15,250,1,1,1,0,0,1,0,0,0,0,2600000
فيلا, الرياض , حي حطين ,شمالية,7+,2,5+,15,500,1,1,1,1,1,1,0,0,1,0,6300000
فيلا, الرياض , حي القيروان ,شمالية,5,3,5+,20,360,1,1,1,1,1,1,0,0,1,1,4300000
فيلا, الرياض , حي القيروان ,شمالية,4,5,5+,15,360,0,1,1,1,1,1,0,0,1,1,3800000
فيلا, الدرعية, العيينة ,ثلاث شوارع,7+,,4,,565,1,1,0,1,1,0,0,0,1,0,2000000
فيلا, الرياض , حي الملك فهد ,جنوبية غربية,6,2,5+,20,625,1,1,1,1,0,0,0,0,0,0,3400000
فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,3,5+,20,250,1,1,1,0,1,1,0,0,1,0,2350000
فيلا, الرياض , حي المروج ,جنوبية,3,2,4,15,300,0,1,1,0,0,1,0,0,0,0,2200000
فيلا, الرياض , حي العارض ,جنوبية,4,3,5+,20,336,0,1,1,0,1,1,1,0,1,1,2750000
فيلا, الرياض , حي الملقا7541 ,شمالية,3,1,3,21,252,1,1,0,0,0,0,0,0,0,1,3200000
فيلا, الرياض , حي العليا ,غربية,4,1,5+,12,210,1,1,1,0,0,1,0,0,1,0,2400000
فيلا, الرياض , حي النرجس ,شمالية شرقية,5,4,5+,15,344,1,1,1,1,1,1,1,0,1,1,4200000
فيلا, الرياض , حي العارض ,جنوبية شرقية,7+,5,5+,15,352,1,1,1,1,1,1,1,0,1,1,4000000
فيلا, الرياض , حي النرجس ,غربية,4,2,4,20,300,1,1,1,0,0,1,0,0,1,0,3000000
فيلا, الرياض , حي الملك فهد ,شمالية شرقية,6,2,5+,20,420,0,1,1,1,1,1,0,0,1,0,2400000
فيلا, الرياض , حي العارض ,جنوبية,5,2,5+,20,338,1,1,1,1,0,1,0,0,1,1,2800000
فيلا, الرياض , حي النرجس ,غربية,5,3,5+,15,325,0,1,1,1,0,1,0,0,1,1,3300000
فيلا, الرياض , حي الملقا ,شمالية,6,5,5+,20,450,1,1,1,1,1,1,0,0,1,1,5500000
فيلا, الرياض , حي النرجس ,غربية,6,3,5+,15,360,1,1,1,0,1,1,0,0,1,1,3550000
فيلا, الرياض , حي النرجس ,شمالية غربية,4,1,4,15,210,1,1,1,1,1,1,0,0,1,1,2300000
فيلا, الرياض, الرياض ,شمالية,5,4,5+,10,239,1,1,1,1,1,1,0,0,1,1,3499000
فيلا, الرياض , حي صلاح الدين ,غربية,5,5,5+,12,699,0,1,1,1,1,1,1,1,1,1,7500000
فيلا, الرياض , حي النرجس ,شمالية,5,3,5+,25,813,1,1,1,1,1,1,1,0,1,1,14000000
فيلا, الرياض , حي الملقا ,شرقية,5,2,5+,20,375,1,1,1,1,0,1,0,0,1,0,3200000
فيلا, الرياض , حي الندى ,غربية,5,3,5+,15,300,0,1,1,1,0,1,1,1,1,0,3600000
فيلا, الرياض , حي النفل ,شمالية غربية,7+,2,5+,20,450,1,1,1,1,1,1,0,1,1,0,4000000
فيلا, الرياض , حي النرجس ,جنوبية,6,2,5+,15,375,1,1,1,1,1,1,1,0,1,1,3650000
فيلا, الرياض , حي النرجس ,جنوبية,5,4,5+,25,360,1,1,1,1,1,1,0,0,1,1,4200000
فيلا, الدرعية, العيينة ,شرقية,5,4,5+,20,250,1,1,1,0,0,1,0,0,1,0,1600000
فيلا, الرياض , حي العارض ,جنوبية,3,2,5+,15,216,1,1,1,0,0,1,0,0,1,1,2100000
فيلا, الرياض , حي العارض ,غربية,7+,3,5+,15,360,1,1,1,1,1,1,0,0,1,0,2800000
فيلا, الرياض , حي العارض ,جنوبية,5,5,5+,15,375,1,1,1,1,0,1,0,0,1,0,3000000
فيلا, الرياض , حي الندى ,شمالية شرقية,6,3,5+,12,525,1,1,1,0,1,1,1,1,1,1,5700000
فيلا, الرياض , حي العليا ,جنوبية غربية,4,1,5+,12,252,1,1,1,0,0,1,0,0,1,0,2600000
فيلا, الرياض, الرياض ,جنوبية,7+,2,5+,14,501,1,1,1,1,1,1,0,0,1,0,4300000
فيلا, الرياض , حي الياسمين ,شمالية,5,2,5+,15,437,1,1,1,1,1,1,1,0,1,1,4200000
فيلا, الرياض , حي النرجس ,شرقية,5,2,5+,15,270,1,1,1,0,0,1,0,0,1,1,2700000
فيلا, الرياض, الرياض ,جنوبية غربية,4,2,5+,15,450,1,1,1,1,1,1,1,0,1,1,4000000
فيلا, الرياض , حي الياسمين ,شمالية شرقية,7+,3,5+,15,1107,1,1,1,1,1,1,0,1,1,1,10300000
فيلا, الرياض , حي التعاون ,جنوبية,5,2,5+,15,312,1,1,1,1,0,1,0,0,1,0,2700000
فيلا, الرياض , حي العليا ,جنوبية غربية,7+,2,5+,12,900,1,1,1,1,1,1,0,0,1,0,5000000
فيلا, الرياض , حي المحمدية ,غربية,4,1,5+,20,420,1,1,1,1,1,1,1,0,1,1,5800000
فيلا, حي النخيل , شارع سعيد السلمي ,شرقية,5,3,5+,15,750,1,1,1,1,1,1,1,0,1,1,8200000
فيلا, الرياض , حي الملك فهد ,جنوبية غربية,5,3,5+,20,960,1,1,1,1,1,1,0,0,1,0,6500000
فيلا, الرياض , حي الملقا ,شمالية,6,,5+,5,360,0,1,0,0,0,0,0,0,0,0,4700000
فيلا, الرياض , حي النرجس ,شمالية,5,3,5+,20,300,1,1,1,0,1,1,0,0,1,1,2600000
فيلا, الرياض , حي النرجس ,غربية,5,2,4,25,375,1,1,1,1,1,1,0,0,1,1,4200000
فيلا, الرياض , حي الياسمين ,شمالية,5,3,5+,15,405,1,1,1,1,1,0,0,0,1,0,3600000
فيلا, الرياض , حي الياسمين ,جنوبية,6,2,5+,15,375,1,1,1,1,1,1,0,0,1,1,2850000
فيلا, الرياض , حي الياسمين ,شمالية,7+,2,5+,15,375,1,1,1,0,1,1,0,0,1,0,3500000
فيلا, الرياض , حي حطين ,جنوبية,7+,5,5+,15,450,1,1,1,0,1,1,0,1,1,1,5250000
فيلا, الرياض , حي حطين ,جنوبية,5,2,5+,15,351,1,1,1,0,1,1,0,0,1,1,3750000
فيلا, الرياض , حي حطين ,غربية,5,3,5+,18,250,1,1,1,0,0,0,0,0,1,1,2500000
فيلا, الرياض , حي النرجس ,شرقية,5,2,4,15,360,1,1,1,0,1,1,0,0,1,1,3650000
فيلا, الرياض, الرياض ,شمالية,5,2,5+,14,420,1,1,1,1,0,1,0,0,1,0,3200000
فيلا, الرياض , حي الياسمين ,جنوبية,4,2,5+,20,375,0,1,1,1,0,1,0,0,1,1,4200000
فيلا, الرياض , حي النرجس ,شمالية,6,3,5+,15,390,0,1,1,0,1,1,0,0,1,0,3900000
فيلا, الرياض , حي النخيل ,شمالية,6,5,5+,5,525,1,1,1,0,0,1,1,1,1,0,5000000
فيلا, الرياض , حي التعاون ,شمالية غربية,3,7+,5+,20,480,1,1,1,1,0,1,0,0,1,1,5800000
فيلا, الرياض , حي التعاون ,غربية,5,2,5+,20,200,1,1,1,1,0,1,0,0,1,0,2350000
فيلا, الرياض , حي حطين ,غربية,5,4,5+,15,505,1,1,1,1,1,1,1,1,1,1,8300000
فيلا, الرياض , حي العارض ,جنوبية,5,5,5+,15,350,1,1,1,1,1,1,0,0,1,0,2600000
فيلا, الرياض , حي العارض ,جنوبية,5,3,5+,15,300,1,1,1,0,1,1,0,0,1,1,2500000
فيلا, الرياض , حي العارض ,جنوبية,7+,3,5+,20,675,1,1,1,1,1,1,1,0,1,1,5500000
